'Plant'	'Type'	'Array'	'# Healthy Seeds'	'Aborted'	'Ovules'	'Additional Comments'	'Predicted Plant #'
'50 (?)'	'W'	10	25	4	5		50
'50 (?)'	'W'	10	12	4	15		50
'50 (?)'	'W'	10	10	6	15		50
'F'	'W'	27	28	1	3		51
'13 or 73 (?)'	'W'	27	35	2	1		41
94	'W'	31	5	11	10		
94	'W'	31	29	3	0		
94	'W'	31	7	10	3		
94	'W'	31	2	17	2		
71	'W'	17	28	2	0		
71	'W'	17	30	2	5		
'F'	'W'	11	24	4	2		51
'F'	'W'	11	26	4	3		51
'F'	'W'	11	20	10	0		51
'F'	'W'	11	24	4	0		51
'F'	'W'	11	21	9	2		51
71	'W'	34	0	22	3		
'F'	'W'	30	25	5	4		51
'F'	'W'	30	23	4	5		51
'F'	'W'	30	32	3	3		51
'F'	'W'	30	25	5	5		51
'F'	'W'	30	7	1	21		51
'F'	'W'	21	23	3	6		51
'F'	'W'	21	21	4	10		51
'F'	'W'	21	25	4	5		51
52	'T'	11	18	5	1		
52	'T'	11	19	4	2		
52	'T'	11	17	5	4		
52	'T'	11	13	3	5		
52	'T'	11	21	4	1		
102	'T'	39	0	31	1		
102	'T'	39	0	29	0		
102	'T'	39	0	17	7		
102	'T'	39	0	30	0		
'F'	'W'	28	23	2	7		51
'F'	'W'	28	22	5	0		51
'F'	'W'	28	32	1	1		51
'F'	'W'	28	23	5	2		51
'F'	'W'	28	11	0	16		51
52	'T'	20	22	5	3		
'49 (?)'	'T'	10	24	4	2		49
'49 (?)'	'T'	10	21	3	3		49
'49 (?)'	'T'	10	21	3	5		49
'49 (?)'	'T'	10	18	2	7		49
'49 (?)'	'T'	10	22	2	5		49
'G'	'W'	23	23	7	7		
'G'	'W'	23	30	4	1		
'G'	'W'	23	24	6	7		
'G'	'W'	23	16	7	12		
'93 (?)'	'W'	33	11	1	13		90
'93 (?)'	'W'	33	4	8	20		90
'93 (?)'	'W'	33	2	5	23		90
102	'T'	20	22	6	2		
71	'W'	25	21	2	15		
71	'W'	25	25	2	6		
71	'W'	25	18	2	7		
'13 or 73 (?)'	'W'	'6 (?)'	14	11	2		
'76 (?)'	'T'	17	0	32	1		
'76 (?)'	'T'	17	0	22	6		
'76 (?)'	'T'	17	0	22	9		
102	'T'	27	23	4	3		
104	'T'	31	0	15	16		
104	'T'	31	32	9	1		
104	'T'	31	34	4	3		
71	'W'	28	29	5	1		
71	'W'	28	28	3	4		
71	'W'	28	30	6	1		
71	'W'	28	26	5	4		
71	'W'	28	16	1	4		
	'W'''	25	0	4	6		'57 or 59'
61	'W'	12	15	13	3		
61	'W'	12	11	19	0		
61	'W'	12	20	6	0		
61	'W'	12	21	8	0		
61	'W'	12	22	7	0		
'93 (?)'	'W'	31	12	15	6		90
'93 (?)'	'W'	31	23	9	4		90
'93 (?)'	'W'	31	8	9	21		90
'93 (?)'	'W'	31	29	3	5		90
'93 (?)'	'W'	31	8	7	11		90
61	'W'	28	22	5	6		
61	'W'	28	20	11	0		
61	'W'	28	30	4	1		
61	'W'	28	27	2	2		
61	'W'	28	16	0	13		
61	'W'	34	20	2	5		
61	'W'	34	19	10	3		
61	'W'	34	10	12	3		
61	'W'	34	26	6	3		
61	'W'	34	12	9	1		
61	'W'	37	25	1	2		
61	'W'	36	27	4	1		
61	'W'	36	24	5	4		
61	'W'	36	25	2	5		
	'W+'	29	11	4	11		'61 or 65'
'93 (?)'	'W'	28	32	1	3		90
'93 (?)'	'W'	28	28	1	10		90
'93 (?)'	'W'	28	37	1	3		90
'93 (?)'	'W'	28	31	3	4		90
'93 (?)'	'W'	28	34	4	1		90
'93 (?)'	'W'	26	31	1	6		90
'93 (?)'	'W'	26	32	2	3		90
'93 (?)'	'W'	26	11	7	15		90
'93 (?)'	'W'	36	25	9	5		90
'93 (?)'	'W'	36	6	17	11		90
'93 (?)'	'W'	36	21	16	2		90
'93 (?)'	'W'	37	19	16	3		90
'93 (?)'	'W'	23	12	0	14		90
'93 (?)'	'W'	23	17	8	8		90
'93 (?)'	'W'	23	13	7	14		90
'93 (?)'	'W'	23	19	2	12		90
'93 (?)'	'W'	23	15	0	10		90
	'Wx'	25	21	4	10		
	'Wx'	25	25	4	2		
	'Wx'	25	13	1	10		
'49 (?)'	'T'	17	13	22	1		49
'49 (?)'	'T'	17	13	16	4		49
'49 (?)'	'T'	17	19	14	2		49
'49 (?)'	'T'	21	8	6	13		49
'49 (?)'	'T'	21	5	5	11		49
'49 (?)'	'T'	16	33	2	3		49
'49 (?)'	'T'	16	31	4	1		49
'49 (?)'	'T'	16	32	0	3		49
'49 (?)'	'T'	16	30	6	0		49
'49 (?)'	'T'	16	31	3	0		49
102	'T'	30	31	2	1		
102	'T'	30	24	3	0		
102	'T'	30	21	5	2		
102	'T'	30	21	5	4		
102	'T'	30	21	5	3		
52	'T'	17	27	3	1		
52	'T'	17	31	1	2		
52	'T'	17	34	3	0		
52	'T'	16	31	1	0		
52	'T'	16	26	3	1		
52	'T'	16	24	7	0		
52	'T'	16	33	1	0		
52	'T'	16	31	3	0		
52	'T'	11	26	1	0		
52	'T'	11	29	1	1		
52	'T'	11	23	1	4		
52	'T'	11	27	2	3		
52	'T'	11	28	2	1		
80	'W'	14	26	2	1		
'F'	'W'	25	26	9	4		51
'F'	'W'	25	23	6	3		51
'F'	'W'	25	26	2	7		51
70	'T'	17	31	4	1		
70	'T'	17	20	11	2		
70	'T'	17	20	6	0		
'F'	'W'	34	21	2	6		51
'F'	'W'	34	21	11	3		51
